1 0.030
2 0.002
3 0.040
4 0.004
5 0.066
6 0.054
7 0.010
8 0.002
9 0.002
10 0.006
11 0.042
12 0.026
13 0.000
14 0.052
15 0.016
16 0.038
17 0.164
18 0.048
19 0.082
20 0.002
21 0.016
22 0.116
23 0.032
24 0.142
