       12453   69.6262970       22.6126003    
       18350   69.6471024       22.6574993    
       17855   69.6513977       22.6604996    
        8233   69.7089005       22.6863003    
        8569   69.7116013       22.6875000    
        7976   69.8100967       22.7157993    
        9360   69.8574982       22.7292004    
        4007   69.8669968       22.7306004    
        4490   69.8683014       22.7306004    
       16008   69.8762970       22.7297001    
        1017   69.8848038       22.7280998    
       15182   69.9493027       22.6844997    
        3079   69.9881973       22.6534004    
        3283   69.9897003       22.6506996    
        7611   70.0039978       22.5935001    
        4964   70.0001984       22.5688992    
       10043   69.9680023       22.5370998    
        9359   69.8684998       22.4706001    
        8732   69.8330994       22.4496002    
       10010   69.7715988       22.4374008    
       11141   69.7686005       22.4372005    
       14465   69.7621002       22.4377003    
       18949   69.6421967       22.4629002    
       18082   69.6306000       22.4934998    
       12453   69.6262970       22.6126003    
