           1   2.9999999999999999E-002
           2   2.0000000000000000E-003
           3   4.0000000000000001E-002
           4   4.0000000000000001E-003
           5   6.6000000000000003E-002
           6   5.3999999999999999E-002
           7   1.0000000000000000E-002
           8   2.0000000000000000E-003
           9   2.0000000000000000E-003
          10   6.0000000000000001E-003
          11   4.2000000000000003E-002
          12   2.5999999999999999E-002
          13   0.0000000000000000     
          14   5.1999999999999998E-002
          15   1.6000000000000000E-002
          16   3.7999999999999999E-002
          17  0.16400000000000001     
          18   4.8000000000000001E-002
          19   8.2000000000000003E-002
          20   2.0000000000000000E-003
          21   1.6000000000000000E-002
          22  0.11600000000000001     
          23   3.2000000000000001E-002
          24  0.14199999999999999     
